AirportID,City,IATA,Country,Name,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,
1,Goroka,GKA,Papua New Guinea,Goroka Airport,AYGA,-6.081689835,145.3919983,5282,10,U,Pacific/Port_Moresby,airport,OurAirports,
2,Madang,MAG,Papua New Guinea,Madang Airport,AYMD,-5.207079887,145.7890015,20,10,U,Pacific/Port_Moresby,airport,OurAirports,
3,Mount Hagen,HGU,Papua New Guinea,Mount Hagen Kagamuga Airport,AYMH,-5.826789856,144.2960052,5388,10,U,Pacific/Port_Moresby,airport,OurAirports,
4,Nadzab,LAE,Papua New Guinea,Nadzab Airport,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports,
5,Port Moresby,POM,Papua New Guinea,Port Moresby Jacksons International Airport,AYPY,-9.443380356,147.2200012,146,10,U,Pacific/Port_Moresby,airport,OurAirports,
6,Wewak,WWK,Papua New Guinea,Wewak International Airport,AYWK,-3.583830118,143.6690063,19,10,U,Pacific/Port_Moresby,airport,OurAirports,
7,Narssarssuaq,UAK,Greenland,Narsarsuaq Airport,BGBW,61.16049957,-45.42599869,112,-3,E,America/Godthab,airport,OurAirports,
8,Godthaab,GOH,Greenland,Godthaab / Nuuk Airport,BGGH,64.19090271,-51.67810059,283,-3,E,America/Godthab,airport,OurAirports,
9,Sondrestrom,SFJ,Greenland,Kangerlussuaq Airport,BGSF,67.0122219,-50.71160316,165,-3,E,America/Godthab,airport,OurAirports,
10,Thule,THU,Greenland,Thule Air Base,BGTL,76.53119659,-68.70320129,251,-4,E,America/Thule,airport,OurAirports,
11,Akureyri,AEY,Iceland,Akureyri Airport,BIAR,65.66000366,-18.0727005,6,0,N,Atlantic/Reykjavik,airport,OurAirports,
12,Egilsstadir,EGS,Iceland,Egilssta?ir Airport,BIEG,65.28330231,-14.40139961,76,0,N,Atlantic/Reykjavik,airport,OurAirports,
13,Hofn,HFN,Iceland,Hornafj?r?ur Airport,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports,
14,Husavik,HZK,Iceland,H?sav?k Airport,BIHU,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport,OurAirports,
15,Isafjordur,IFJ,Iceland,?safj?r?ur Airport,BIIS,66.05809784,-23.13529968,8,0,N,Atlantic/Reykjavik,airport,OurAirports,
16,Keflavik,KEF,Iceland,Keflavik International Airport,BIKF,63.98500061,-22.60560036,171,0,N,Atlantic/Reykjavik,airport,OurAirports,
17,Patreksfjordur,PFJ,Iceland,Patreksfj?r?ur Airport,BIPA,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport,OurAirports,
18,Reykjavik,RKV,Iceland,Reykjavik Airport,BIRK,64.12999725,-21.94059944,48,0,N,Atlantic/Reykjavik,airport,OurAirports,
19,Siglufjordur,SIJ,Iceland,Siglufj?r?ur Airport,BISI,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport,OurAirports,
20,Vestmannaeyjar,VEY,Iceland,Vestmannaeyjar Airport,BIVM,63.42430115,-20.27890015,326,0,N,Atlantic/Reykjavik,airport,OurAirports,
21,Sault Sainte Marie,YAM,Canada,Sault Ste Marie Airport,CYAM,46.48500061,-84.50939941,630,-5,A,America/Toronto,airport,OurAirports,
22,Winnipeg,\N,Canada,Winnipeg / St. Andrews Airport,CYAV,50.0564003,-97.03250122,760,-6,A,America/Winnipeg,airport,OurAirports,
23,Halifax,\N,Canada,Halifax / CFB Shearwater Heliport,CYAW,44.639702,-63.499401,144,-4,A,America/Halifax,airport,OurAirports,
24,St. Anthony,YAY,Canada,St. Anthony Airport,CYAY,51.39189911,-56.08309937,108,-3.5,A,America/St_Johns,airport,OurAirports,
25,Tofino,YAZ,Canada,Tofino / Long Beach Airport,CYAZ,49.079833,-125.775583,80,-8,A,America/Vancouver,airport,OurAirports,
26,Pelly Bay,YBB,Canada,Kugaaruk Airport,CYBB,68.534401,-89.808098,56,-7,A,America/Edmonton,airport,OurAirports,
27,Baie Comeau,YBC,Canada,Baie Comeau Airport,CYBC,49.13249969,-68.20439911,71,-5,A,America/Toronto,airport,OurAirports,
28,Bagotville,YBG,Canada,CFB Bagotville,CYBG,48.33060074,-70.99639893,522,-5,A,America/Toronto,airport,OurAirports,
29,Baker Lake,YBK,Canada,Baker Lake Airport,CYBK,64.29889679,-96.07779694,59,-6,A,America/Winnipeg,airport,OurAirports,
30,Campbell River,YBL,Canada,Campbell River Airport,CYBL,49.95080185,-125.2710037,346,-8,A,America/Vancouver,airport,OurAirports,
31,Brandon,YBR,Canada,Brandon Municipal Airport,CYBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport,OurAirports,
